Channel Name,Neural Interface Compatible,Metaverse Integration Level,Quantum Computing Topics,Holographic Content Rating,Channel ID,Tecnologia ID
Smith-Ross Labs,True,Full,5,3D,1,1
Sandoval PLC Hub,False,,4,3D,2,2
"Jones, Moore and Ho Network",True,Advanced,6,1D,3,3
Mitchell-Hooper Labs,False,,15,1D,4,4
Wilson LLC Studios,True,,12,3D,5,5
Wilson LLC Studios,True,,12,3D,453,6
Wilson LLC Studios,True,,12,3D,3202,7
Myers Ltd Network,False,Full,3,1D,6,8
Huber Inc Network,False,Basic,4,1D,7,9
Baxter-Collins Studios,True,Advanced,7,2D,8,10
Morrow-Abbott Hub,True,Basic,5,4D,9,11
Jackson Group Network,True,,13,1D,10,12
Jackson Group Network,True,,13,1D,1902,13
Austin-Bowen Studios,False,,2,3D,11,14
Walton Ltd Network,True,Advanced,0,2D,12,15
Singh LLC Hub,True,Advanced,5,3D,13,16
Martinez Ltd Labs,False,Advanced,19,3D,14,17
"Wade, Price and Byrd Labs",True,,14,2D,15,18
Jones-Wood Hub,True,,10,2D,16,19
Contreras Inc Network,False,Full,19,3D,17,20
Hill-Martinez Network,False,Full,12,4D,18,21
Jones Group Studios,True,Advanced,9,3D,19,22
"Adams, Velazquez and Jackson Hub",False,Full,16,1D,20,23
Gill-Nelson Studios,True,Full,4,1D,21,24
"Knapp, Frazier and Zimmerman Network",False,Full,4,4D,22,25
"Jackson, Lambert and Harmon Network",True,Advanced,3,1D,23,26
"Ford, Ponce and Navarro Network",True,,1,3D,24,27
Rodriguez and Sons Labs,True,Basic,20,4D,25,28
Perez-Acevedo Hub,False,Advanced,17,4D,26,29
Harrell-Joseph Labs,False,,6,3D,27,30
Campbell-Lopez Network,False,Basic,18,4D,28,31
Silva and Sons Network,True,,6,3D,29,32
Gilmore-Garcia Labs,False,,3,1D,30,33
Ryan-Ochoa Hub,False,,1,2D,31,34
Stokes-Flores Network,True,Full,8,4D,32,35
"Esparza, Ferguson and Moody Network",False,Full,11,2D,33,36
"Blake, Woods and Murphy Network",False,Advanced,4,2D,34,37
"Gonzalez, Salazar and Harris Studios",False,Advanced,20,4D,35,38
"Wright, Morgan and Baker Hub",True,Full,17,2D,36,39
"Randolph, Blankenship and Giles Studios",True,Full,13,4D,37,40
