Channel Name,Total Videos,Total Subscribers,Members Count,AI Generated Content (%),Engagement Score,Content Value Index,Channel ID
Smith-Ross Labs,68,8264152,303319,9,130655.44,6.199999999999999,1
Sandoval PLC Hub,128,8768222,384629,62,138624.73,21.4,2
"Jones, Moore and Ho Network",282,6163386,361743,31,97442.53,13.499999999999998,3
Mitchell-Hooper Labs,302,4712268,58483,5,74500.5,12.0,4
Wilson LLC Studios,129,9592017,333873,63,151648.85,27.3,5
Wilson LLC Studios,129,9592017,333873,63,151648.85,27.3,453
Wilson LLC Studios,129,9592017,333873,63,151648.85,27.3,3202
Myers Ltd Network,98,8596605,346447,36,135911.49,12.9,6
Huber Inc Network,494,4516365,113241,31,71403.29,12.099999999999998,7
Baxter-Collins Studios,133,8619619,119696,22,136275.34,11.5,8
Morrow-Abbott Hub,316,8238590,343565,68,130251.3,23.9,9
Jackson Group Network,140,2434930,253939,97,38496.01,38.2,10
Jackson Group Network,140,2434930,253939,97,38496.01,38.2,1902
Austin-Bowen Studios,52,6131291,460904,84,96935.11,26.6,11
Walton Ltd Network,149,4065562,58414,44,64276.14,13.2,12
Singh LLC Hub,53,3694694,343545,78,58412.75,26.9,13
Martinez Ltd Labs,299,4011951,8419,24,63428.55,20.5,14
"Wade, Price and Byrd Labs",383,3994755,156929,99,63156.69,39.5,15
Jones-Wood Hub,79,1001201,124595,7,15828.89,9.1,16
Contreras Inc Network,373,422350,401907,46,6677.31,27.1,17
Hill-Martinez Network,59,9292690,20420,49,146916.52,23.1,18
Jones Group Studios,500,7369289,279265,0,116507.74,6.3,19
"Adams, Velazquez and Jackson Hub",332,6814247,418869,53,107732.58,27.1,20
Gill-Nelson Studios,133,4989168,196706,24,78878.26,10.0,21
"Knapp, Frazier and Zimmerman Network",228,7034350,16274,77,111212.39,25.9,22
"Jackson, Lambert and Harmon Network",445,7394660,356176,69,116908.85,22.8,23
"Ford, Ponce and Navarro Network",477,7776636,115197,11,122947.86,4.0,24
Rodriguez and Sons Labs,405,5075191,231415,86,80238.27,39.8,25
Perez-Acevedo Hub,423,2591943,381450,47,40978.37,26.0,26
Harrell-Joseph Labs,279,5739571,67100,14,90742.06,8.399999999999999,27
Campbell-Lopez Network,428,3404705,434581,77,53828.05,35.7,28
Silva and Sons Network,269,6868170,444558,12,108585.1,7.799999999999999,29
Gilmore-Garcia Labs,160,4513427,135124,52,71356.84,17.7,30
Ryan-Ochoa Hub,302,1780042,416574,28,28142.29,9.1,31
Stokes-Flores Network,484,8530344,377025,27,134863.91,13.7,32
"Esparza, Ferguson and Moody Network",420,1552061,268539,9,24537.93,10.4,33
"Blake, Woods and Murphy Network",148,7431606,482236,2,117492.97,3.4,34
"Gonzalez, Salazar and Harris Studios",460,1264890,350202,91,19997.79,41.3,35
"Wright, Morgan and Baker Hub",271,1262807,464429,30,19964.86,20.9,36
"Randolph, Blankenship and Giles Studios",51,6894055,230130,41,108994.34,21.4,37
Bailey-Anderson Labs,208,2568775,346466,29,40612.08,12.9,38
"Mendoza, Brooks and Richardson Labs",398,7719853,19128,29,122050.12,22.7,39
Phillips-Robinson Labs,115,2025453,320334,52,32022.21,29.6,40
"Shepard, Ponce and Doyle Studios",343,2108909,24149,62,33341.65,25.6,41
Henderson-Banks Network,97,7413435,283018,93,117205.68,34.2,42
Sparks LLC Labs,153,1344647,362185,87,21258.74,35.2,43
Johnson Inc Network,406,873104,230698,69,13803.69,24.9,44
"Crane, Hayes and Smith Hub",260,9706590,475795,34,153460.24,22.1,45
"Campbell, Mckay and Clark Hub",346,278568,476194,72,4404.13,29.3,46
"Williams, Bauer and Johnson Studios",133,9015380,192317,92,142532.28,30.4,47
Dominguez-Nichols Hub,241,417210,481175,53,6596.05,21.5,48
Chan Inc Network,150,585597,210682,29,9258.23,22.0,49
Jimenez-Mitchell Labs,56,6254918,471373,7,98889.64,15.4,50
"Cooper, Rhodes and Stone Network",114,9252342,33104,58,146278.62,30.7,51
Rich and Sons Hub,73,2235220,345756,88,35338.61,28.5,52
Adkins-Ferrell Studios,246,9845535,320777,1,155656.95,4.499999999999999,53
Daniel and Sons Studios,476,9366054,198703,9,148076.4,9.7,54
"Garcia, Mullen and Moody Studios",487,4258730,72586,83,67330.11,36.1,55
Campbell Ltd Network,327,6926293,394262,100,109504.02,32.8,56
Taylor-Miller Hub,469,2806126,305851,85,44364.58,27.6,57
Callahan-Howell Hub,78,2361320,191992,70,37332.24,26.6,58
Lang-Weaver Labs,468,9700181,41940,87,153358.92,38.0,59
"Williams, Velez and Wheeler Network",405,1362995,390767,9,21548.82,15.3,60
Burgess Ltd Labs,269,2078869,316294,91,32866.72,30.1,61
Sanders-Wood Hub,124,7406537,203145,81,117096.63,31.3,62
Bowen and Sons Network,107,746285,411325,11,11798.69,15.9,63
Cowan PLC Labs,356,8231483,99114,26,130138.94,12.7,64
Byrd-Jordan Studios,412,2680905,475584,28,42384.85,22.4,65
Fuentes-Schmitt Hub,69,9359271,413095,94,147969.16,36.6,66
Moore PLC Hub,96,2463103,394976,92,38941.42,35.3,67
Coleman-Knight Hub,205,2725243,208905,63,43085.83,21.0,68
"Rios, Daniels and Howard Labs",161,2867874,489594,50,45340.81,15.7,69
Parks-Hogan Labs,399,3418285,385158,38,54042.75,20.5,70
Valencia Group Network,255,7167614,453468,10,113319.28,14.2,71
"Bradley, Hurst and Bailey Hub",235,4240493,18826,13,67041.78,6.0,72
Wilson-Lopez Hub,172,3344680,156953,43,52879.06,25.5,73
Flores-Johnson Labs,416,2147082,183846,68,33945.16,30.2,74
"Nguyen, Brown and Vargas Hub",123,3306638,116081,39,52277.62,22.2,75
Hanna and Sons Studios,265,5721479,335232,21,90456.02,7.0,76
Carrillo and Sons Studios,377,429363,222454,25,6788.19,16.6,77
Velazquez-Wong Network,497,5582920,437695,74,88265.42,29.2,78
Ryan-Campbell Network,228,3420420,38416,100,54076.51,35.6,79
Evans-James Labs,388,7156003,5498,48,113135.71,20.7,80
Goodman-Levy Hub,405,9500809,33784,0,150206.86,14.0,81
Farrell PLC Hub,210,4528886,26520,21,71601.25,13.3,82
Gallegos-Perkins Network,463,6237676,151972,80,98617.05,26.1,83
"Cuevas, Ross and Sanders Labs",256,4368873,489583,65,69071.46,24.4,84
Smith and Sons Network,215,3592081,264399,46,56790.45,21.5,85
Smith and Sons Network,215,3592081,264399,46,56790.45,21.5,1672
Smith and Sons Network,215,3592081,264399,46,56790.45,21.5,2073
Smith and Sons Network,215,3592081,264399,46,56790.45,21.5,3856
Smith and Sons Network,215,3592081,264399,46,56790.45,21.5,4059
Holland Group Hub,163,7158470,341083,15,113174.71,6.6,86
Powell PLC Hub,190,7763894,249783,76,122746.41,25.6,87
Clements LLC Network,280,4723689,435914,91,74681.06,36.4,88
Valenzuela and Sons Studios,492,7771409,334356,73,122865.22,22.6,89
"Day, White and Miller Labs",340,7384396,159890,74,116746.58,28.5,90
"Kelly, Jordan and Sanders Hub",189,4204007,227796,1,66464.94,4.499999999999999,91
"James, Anderson and Zavala Labs",101,3392371,274527,69,53633.05,32.599999999999994,92
Chandler-Mcdaniel Studios,290,212131,171814,29,3353.77,11.5,93
"Johnson, Clay and Manning Hub",120,9066616,498304,94,143342.31,34.5,94
Henderson and Sons Studios,53,153521,20239,93,2427.15,32.8,95
Henderson and Sons Studios,53,153521,20239,93,2427.15,32.8,1867
"Miller, Anderson and Duran Hub",138,1533609,54166,57,24246.21,18.5,96
Brown LLC Labs,467,250114,280390,97,3954.28,41.0,97
Brown LLC Labs,467,250114,280390,97,3954.28,41.0,1205
Whitney LLC Studios,145,3523811,308094,0,55711.11,3.5,98
Whitney PLC Hub,105,187020,286841,24,2956.77,11.4,99
Patrick-Sawyer Labs,456,881229,112858,12,13932.14,9.9,100
Gutierrez-Price Labs,258,208076,229849,52,3289.66,28.2,101
Peters-Scott Hub,59,3964271,168785,52,62674.74,22.6,102
Garcia-Williams Hub,442,4718358,47130,9,74596.78,3.3999999999999995,103
Dixon PLC Network,136,2704502,340789,10,42757.91,15.6,104
Richardson Ltd Labs,252,7217061,409927,17,114101.03,13.499999999999998,105
Collier-Rollins Hub,258,7397534,68166,91,116954.29,27.3,106
Ramos-Lewis Hub,402,9188780,283681,34,145273.72,22.8,107
Gamble-James Labs,247,1132391,53337,25,17902.99,19.4,108
Hudson-Jackson Network,273,8639621,457211,28,136591.57,21.7,109
Mcconnell-Scott Studios,198,3538304,106501,17,55940.24,18.4,110
"Singleton, Lane and Thomas Labs",158,1630037,50258,36,25770.73,15.7,111
"Hall, Haynes and Bates Studios",150,445273,154053,49,7039.72,25.2,112
Randall-Brewer Labs,116,7330584,69537,23,115895.82,17.4,113
Simmons and Sons Labs,273,4511576,321812,58,71327.58,29.3,114
Simmons and Sons Labs,273,4511576,321812,58,71327.58,29.3,472
"Crosby, Jensen and Stanley Hub",161,8767634,418228,74,138615.44,29.9,115
Bailey Ltd Labs,391,6908888,365067,86,109228.85,39.1,116
Carpenter-Scott Labs,191,1289478,1525,57,20386.52,19.9,117
Martin Inc Hub,482,273551,6848,34,4324.81,12.3,118
Mcdonald Inc Studios,308,4057317,190621,90,64145.79,35.4,119
Snyder PLC Hub,426,7887043,482231,12,124693.38,16.9,120
"Williams, Lara and Rivera Network",190,8933351,328815,16,141235.41,16.0,121
Morrison LLC Labs,124,7771431,409010,42,122865.57,24.5,122
King Ltd Hub,247,8961079,138314,87,141673.78,26.8,123
King Ltd Hub,247,8961079,138314,87,141673.78,26.8,4999
King and Sons Network,366,3154330,12882,89,49869.65,31.6,124
"Wilkins, Rosales and Cunningham Labs",345,7800624,426777,50,123327.1,15.0,125
"Carter, Martin and Green Hub",390,1215880,146935,9,19222.94,11.8,126
Price-Olsen Network,467,6319187,237185,29,99905.73,14.3,127
Heath-Davis Hub,140,6496546,125218,73,102709.76,35.9,128
"Craig, Patrick and Combs Network",338,9866081,47351,63,155981.78,32.2,129
"Lewis, Neal and Fox Labs",287,3915113,222618,26,61897.55,21.1,130
Mora-Stewart Hub,91,4654015,434015,76,73579.52,28.4,131
Brown Group Studios,386,6862316,188294,67,108492.55,28.5,132
Brown Group Studios,386,6862316,188294,67,108492.55,28.5,2970
"Mcmillan, Thompson and Andersen Labs",458,1359596,323472,90,21495.08,31.9,133
Rice-Salazar Studios,330,3327890,72962,1,52613.62,12.9,134
Kelly-Wagner Labs,160,7036260,150384,81,111242.58,27.8,135
Mann-Chung Labs,469,5549215,359683,21,87732.55,12.6,136
Jones Ltd Hub,424,2725981,168035,18,43097.49,8.2,137
Jones Ltd Hub,424,2725981,168035,18,43097.49,8.2,715
Morgan-Robles Hub,496,7161570,138283,0,113223.72,11.9,138
Lee PLC Network,432,6517741,400310,80,103044.85,34.5,139
Coleman Group Labs,356,1398360,459752,90,22107.94,32.6,140
Marks and Sons Hub,89,1803036,431089,76,28505.82,24.2,141
Hammond Inc Network,309,5696843,92612,24,90066.53,9.3,142
"Downs, Mason and Walsh Network",152,1576952,180930,49,24931.46,16.799999999999997,143
Mathews LLC Hub,414,1846533,365027,85,29193.51,26.9,144
"Fleming, Ford and Vasquez Studios",485,8152008,123600,35,128882.45,21.0,145
Martinez-Hendrix Studios,304,9427395,248520,88,149046.2,39.0,146
"Nunez, Thomas and Reed Network",66,5648731,335413,16,89305.89,11.8,147
Robinson-Gonzalez Hub,318,3577473,298567,89,56559.5,31.6,148
Cox Ltd Studios,99,4293943,477569,80,67886.82,28.9,149
"Garcia, Cox and Willis Hub",183,1697507,321501,92,26837.42,35.3,150
Mclaughlin LLC Labs,230,8114520,186084,48,128289.77,17.2,151
"Graves, Lee and Morse Network",308,54391,5857,2,859.92,12.499999999999998,152
Wright and Sons Studios,185,7602011,269973,14,120187.05,18.2,153
Graham-Lopez Hub,127,7427790,7808,90,117432.64,36.8,154
Jackson-Ford Network,414,9943673,152189,55,157208.5,24.2,155
"Ryan, Thompson and Mcknight Hub",154,6376116,10065,25,100805.77,8.9,156
Berg-Adams Hub,233,6999697,8821,36,110664.53,11.499999999999998,157
Smith and Sons Studios,191,3264087,393541,93,51604.9,31.4,158
Smith and Sons Studios,191,3264087,393541,93,51604.9,31.4,3035
Smith and Sons Studios,191,3264087,393541,93,51604.9,31.4,3767
Wood LLC Hub,190,4897488,118926,58,77428.81,20.2,159
"Marshall, Ramirez and Reynolds Labs",405,7385873,409081,57,116769.93,24.8,160
"Young, Ray and Foster Studios",57,1819866,331950,53,28771.9,29.2,161
Phillips-Barker Labs,66,1945625,94412,10,30760.14,14.9,162
"Cox, Scott and Hines Hub",158,3812916,378220,27,60281.83,8.799999999999999,163
Fuentes Inc Hub,328,8531219,207828,47,134877.74,24.6,164
"Jensen, Flores and Anderson Labs",451,4694747,122914,9,74223.49,6.899999999999999,165
Patterson LLC Network,287,7037138,315041,92,111256.47,34.599999999999994,166
Patterson LLC Network,287,7037138,315041,92,111256.47,34.599999999999994,4386
Walters and Sons Hub,346,6620736,225564,82,104673.19,34.4,167
"Scott, Ross and Moreno Network",152,3484551,385445,32,55090.41,11.0,168
King LLC Studios,313,4167357,126933,52,65885.51,28.9,169
Stark-Price Hub,276,233812,231066,35,3696.54,16.1,170
"Moon, Nguyen and Sherman Hub",253,9063308,299029,97,143290.02,33.3,171
Williams-Wilson Studios,65,7230913,71653,17,114320.03,6.5,172
"Pratt, Mendoza and Brown Studios",268,1275664,407262,95,20168.12,34.1,173
Walker-Solis Studios,392,7339600,110398,73,116038.36,35.9,174
"Walker, Oliver and Wang Hub",416,2195775,362956,4,34714.99,13.8,175
Riddle-Marquez Hub,308,1515114,59555,85,23953.8,31.8,176
Craig PLC Network,287,6073902,256444,27,96027.8,8.799999999999999,177
Ford-Thomas Hub,485,714794,169455,76,11300.82,27.0,178
"Burns, Cunningham and Hoover Studios",174,1395503,466834,29,22062.77,21.3,179
Graham Group Studios,131,1628569,411045,50,25747.52,23.4,180
Johnson-Garner Network,80,4730971,495907,100,74796.19,33.5,181
Morris-Juarez Labs,111,1356352,276459,36,21443.79,11.499999999999998,182
Lopez Group Labs,136,4103358,277661,49,64873.69,15.4,183
Lopez Group Labs,136,4103358,277661,49,64873.69,15.4,330
Lopez Group Labs,136,4103358,277661,49,64873.69,15.4,3493
"Gray, Fox and Booth Network",421,8503466,460447,56,134438.97,22.4,184
Warren PLC Studios,93,404610,364105,90,6396.84,35.4,185
Haynes LLC Studios,126,9604785,243782,68,151850.71,30.9,186
"Thompson, Farrell and Watson Labs",480,3597815,248064,18,56881.1,14.5,187
Smith Ltd Labs,475,5232908,23480,78,82731.76,37.4,188
"Brooks, Romero and Barker Network",492,4425473,451474,46,69966.3,13.8,189
Roberts-Haas Labs,117,5789315,42749,92,91528.51,31.8,190
"Bowman, Santiago and Pope Hub",429,4337970,384918,6,68582.88,15.099999999999998,191
"Fitzgerald, Cardenas and Jimenez Studios",487,3147042,231929,13,49754.43,13.0,192
Cole-Green Network,339,1665217,468840,60,26326.92,26.4,193
"Munoz, Torres and Reyes Labs",158,164173,20161,50,2595.56,27.6,194
Garcia-Martin Network,464,9780255,164104,0,154624.88,12.6,195
Estrada and Sons Hub,306,6113270,250261,3,96650.2,10.0,196
Roth-Weiss Hub,93,8409783,277742,66,132957.85,27.5,197
"Miles, Phillips and Pierce Network",218,4443619,310378,90,70253.18,37.5,198
"Torres, Oneal and Stewart Network",375,256512,453284,59,4055.43,27.5,199
Cook and Sons Network,93,9634988,153878,5,152328.22,11.3,200
"Griffin, Sanford and Jackson Labs",302,3349475,477032,28,52954.87,9.8,201
"Brown, Garcia and Murphy Studios",115,7895622,409223,8,124829.01,13.6,202
"Moore, Burns and Payne Labs",210,9070379,260556,72,143401.81,23.0,203
Perkins Inc Network,94,8346474,151112,94,131956.94,33.1,204
Parker PLC Hub,135,985994,56033,88,15588.47,29.9,205
"Stewart, Hunt and Mora Hub",176,784821,392721,25,12407.94,13.1,206
"Lewis, Sloan and West Network",372,843175,381193,4,13330.51,12.4,207
Frazier Group Hub,272,4874610,24337,7,77067.11,12.6,208
Wilson-Frank Labs,443,8940164,8025,38,141343.12,15.6,209
"Adkins, Grimes and Dunn Labs",426,2664343,23967,71,42123.0,32.5,210
Jenkins and Sons Network,95,4886891,261791,41,77261.27,22.8,211
Watkins-Nelson Hub,351,3315309,207500,20,52414.71,6.7,212
Rose-Gibbs Studios,159,9272293,282688,36,146594.05,10.8,213
Taylor Ltd Network,285,5286525,308959,28,83579.44,8.4,214
Brennan-Price Labs,378,4760980,269608,94,75270.63,38.7,215
Garcia PLC Network,441,1428302,388576,66,22581.32,33.1,216
Garcia PLC Network,441,1428302,388576,66,22581.32,33.1,359
Cox-Martin Labs,259,1646140,251962,89,26025.31,37.2,217
Peterson and Sons Labs,223,6180933,375888,54,97719.95,27.4,218
"Morales, Williams and Smith Network",325,5484649,401490,40,86711.77,22.5,219
Fletcher-West Hub,399,8872412,141124,30,140271.97,11.1,220
"Harris, Harrison and Wagner Studios",469,2735160,381615,47,43242.61,26.7,221
Jones-Conway Studios,467,1411564,114065,61,22316.69,18.3,222
"Quinn, Schultz and Pugh Network",443,2169418,454289,46,34298.29,14.499999999999998,223
Wheeler-Rodriguez Hub,142,2228952,171349,35,35239.51,23.8,224
Bradford-Cooper Hub,337,9177553,118254,73,145096.22,25.4,225
Williams PLC Hub,388,1883145,261363,100,29772.34,42.6,226
Howell-Hansen Network,93,4469810,150835,53,70667.26,29.9,227
Wolfe Inc Labs,174,2953187,230186,26,46689.6,10.6,228
Lopez Inc Network,441,8989641,270395,9,142125.35,7.6,229
Lopez Inc Network,441,8989641,270395,9,142125.35,7.6,1111
"Norton, Perez and Clay Hub",430,2695277,153746,62,42612.07,24.9,230
"Garcia, Cunningham and Sandoval Hub",234,111127,120646,54,1756.91,20.4,231
"Cameron, Scott and Kelly Network",489,8529903,111045,7,134856.93,13.3,232
"Davis, Calderon and Morgan Labs",500,2808201,53407,82,44397.38,24.6,233
Burgess-Taylor Network,367,9664597,459538,48,152796.34,25.6,234
Tucker and Sons Labs,365,11134,290480,80,176.03,30.3,235
Bridges and Sons Network,56,8292099,359874,39,131097.28,14.5,236
Blanchard-Howe Hub,129,4282976,155469,11,67713.43,15.9,237
David-Johnson Studios,173,8639538,54834,85,136590.25,38.8,238
"Nolan, Brown and Matthews Network",60,5646673,84917,99,89273.35,43.7,239
